brand,category,ingredient,name,price,rating,reviews_number,unit
"
            By Taste of the Wild","Dog,Food","Crude Protein,28.0% min,Crude Fat,17.0% min,Crude Fiber,5.0% max,Moisture,10.0% max,DHA (Docosahexaenoic acid),0.05% max,Zinc,150 mg/kg min,Selenium,0.35 mg/kg min,Vitamin E,175 IU/kg min,Omega 6 Fatty Acids,2.8% min,Omega 3 Fatty Acids,0.3% min,Total Microorganisms,1,000,000 CFU/lb min","
        Taste of the Wild High Prairie Puppy Formula Grain-Free Dry Dog Food","
                        $49.99",/assets/img/ratings/rating-4_7.png,684,30-lb bag
"
            By Nature's Recipe","Dog,Food","Crude Protein,27.0% min,Crude Fat,12.0% min,Crude Fiber,4.0% max,Moisture,10.0% max,Calcium,1.0% min,Phosphorus,0.8% min,Omega 6 Fatty Acids,1.7% min,Omega 3 Fatty Acids,1.0% min,3 - 10 lbs,1/2 - 2,1/2 - 1 1/2,1/4 - 1,10 - 20 lbs,2 - 3,1 1/2 - 2 1/4,1 - 1 1/2,20 - 50 lbs,3 - 6,2 1/4 - 4 1/2,1 1/2 - 3,50 - 100 lbs,6 - 10,4 1/2 - 7 1/2,3 - 5,> 100 lbs,—,—,Add 1/2 cup for each 10 lbs of body weight > 100 lbs","
        Nature's Recipe Grain-Free Salmon, Sweet Potato & Pumpkin Recipe Dry Dog Food","
                        $32.99",/assets/img/ratings/rating-4_7.png,236,24-lb bag
"
            By Wellness","Dog,Food","Crude Protein,34.0% min,Crude Fat,16.0% min,Crude Fiber,4.0% max,Moisture,10.0% max,Calcium,2.0% max,Phosphorus,1.40% max,Vitamin E,400 IU/kg,Omega-6 Fatty Acids*,3.25% min,Omega-3 Fatty Acids*,0.5% min,Glucosamine*,250 mg/kg min,Chondroitin Sulfate*,200 mg/kg min,Beta-Carotene*,5 mg/kg min,Total Lactic Acid Microorganisms*,+80,000,000 CFU/lb min,6 - 10,¼ - 1¼,20 - 35,1¼ - 1¾,35 - 50,1¾ - 2¼,50 - 65,2¼ - 2¾,65 - 80,2¾ - 3¼,80 - 95,3¼ - 3¾,95 - 115,3¾ - 4¼","
        Wellness CORE Grain-Free Original Turkey & Chicken Recipe Dry Dog Food","
                        $58.48",/assets/img/ratings/rating-4_8.png,449,26-lb bag
"
            By Purina ONE","Dog,Food","Crude Protein,26.0% min,Crude Fat,16.0% min,Crude Fiber,3.0% max,Moisture,12.0% max,Linoleic Acid,1.4% min,Calcium,1.0% min,Phosphorus,0.8% min,Zinc,150 mg/kg min,Selenium,0.35 mg/kg min,Vitamin A,13,000 IU/kg min,Vitamin E,250 IU/kg min,Glucosamine*,400 ppm min,Omega 6 Fatty Acids*,1.6% min,3 - 12 lb,1.4 - 5.4 kg ,1/3 - 1 cup,13 - 20 lb,5.9 - 9.1 ,1 - 1 1/2 cups,21 - 35 lb,9.5 - 15.9 kg ,1 1/2 - 2 1/4 cups,36 - 50 lb,16.3 - 22.7 kg ,2 1/4 - 3 cups,51 - 75 lb,23.1 - 34.0 kg ,3 - 4 cups,76 - 100 lb,34.5 - 45.4 kg ,4 - 5 cups,Over 100 lb,Over 45.4 kg ,5 cups plus 1/2 for each 10 lbs (4.5 kg) of body weight over 100 lbs (45.4 kg)","
        Purina ONE SmartBlend Lamb & Rice Formula Adult Premium Dry Dog Food","
                        $26.99",/assets/img/ratings/rating-4_8.png,198,31.1-lb bag
"
            By Blue Buffalo","Dog,Food","Crude Protein,30.0% min,Crude Fat,15.0% min,Crude Fiber,6.0% max,Moisture,10.0% max,Calcium,1.4% min,Phosphorus,0.9% min,Omega 3 Fatty Acids,0.5% min,Omega 6 Fatty Acids,2.5% min,Glucosamine,400 mg/kg min,Up to 15 pounds,1/2 – 1 1/4 cups,16 to 25 pounds,1 1/4 – 1 3/4 cups,26 to 40 pounds,1 3/4 – 2 1/2 cups,41 to 60 pounds,2 1/2 – 3 1/4 cups,61 to 80 pounds,3 1/4 – 4 1/4 cups,81 to 100 pounds,4 1/4 – 5 cups,Over 100 pounds,Feed 5 cups plus 1/2 cup for each additional 20 pounds","
        Blue Buffalo Wilderness Rocky Mountain Recipe with Red Meat Adult Grain-Free Dry Dog Food","
                        $49.99",/assets/img/ratings/rating-4_7.png,143,22-lb bag
"
            By Blue Buffalo","Dog,Food","Crude Protein,27.0% min,Crude Fat,16.0% min,Crude Fiber,5.0% max,Moisture,10.0% max,Calcium,1.1% min,Phosphorus,0.8% min,Choline,2,750 mg/kg min,ARA,0.04% min,DHA,0.1% min,Omega 3 Fatty Acids,0.75% min,Omega 6 Fatty Acids,3.0% min,Up to 5 lbs,1/2 - 1,1/2 - 3/4,1/2 - 3/4,1/4 - 1/2,6 - 10 lbs,1 - 1 1/2,3/4 - 1,3/4 - 1,1/2 - 3/4,11 - 20 lbs,1 1/2 - 2 3/4,1 - 1 3/4,1 - 1 1/2,3/4 - 1 1/2,21 - 40 lbs,2 3/4- 4 1/2,1 3/4 - 3,1 1/2 - 2 3/4,1 1/2 - 2 1/2,41 - 60 lbs,4 1/2 - 6 1/4,3 - 4,2 3/4 - 3 3/4,2 1/2 - 3 1/4","
        Blue Buffalo Life Protection Formula Puppy Chicken & Brown Rice Recipe Dry Dog Food","
                        $45.99",/assets/img/ratings/rating-4_7.png,250,30-lb bag
"
            By Victor","Dog,Food","Crude Protein,30.0% min,Crude Fat,20.0% min,Crude Fiber,3.8% max,Moisture,9.0% max,Linoleic Acid (Omega 6),2.6% min,Zinc,150 mg/kg min,Selenium,0.4 mg/kg min,Vitamin E,150 IU/kg min,Linolenic Acid (Omega 3),0.4% min,L-Carnitine,50 mg/kg min,DHA,0.1% min,10 lbs,1,20 lbs,1 1/4,30 lbs,1 3/4,40 lbs,2 1/2,60 lbs,3 1/4,80 lbs,3 3/4,100 lbs,4 1/2,1 - 3,75%,25%,4 - 6,50%,50%,7 - 9 ,25%,75%,10+,?,100%","
        Victor Hi-Pro Plus Formula Dry Dog Food","
                        $46.50",/assets/img/ratings/rating-4_8.png,211,40-lb bag
"
            By Rachael Ray Nutrish","Dog,Food","Crude Protein,26.0% min,Crude Fat,14.0% min,Crude Fiber,4.0% max,Moisture,12.0% max,Linoleic Acid (Omega 6 Fatty Acid),1.5% min,Calcium,1.1% min,Phosphorus,0.9% min,Zinc,250 mg/kg min,Vitamin E,225 IU/kg min,Ascorbic Acid (Vitamin C),55 mg/kg min,Alpha-Linolenic Acid (Omega 3 Fatty Acid),0.1% min","
        Rachael Ray Nutrish Natural Chicken & Veggies Recipe Dry Dog Food","
                        $29.52",/assets/img/ratings/rating-4_6.png,316,28-lb bag
"
            By Orijen","Dog,Food","Crude Protein,38.0% min,Crude Fat,18.0% min,Crude Fiber,4.0% max,Moisture,12.0% max,Calcium,1.4% min,Phosphorus,1.2% min,Omega 6 Fatty Acids,2.3% min,Omega 3 Fatty Acids,2.0% min,Docosahexaenoic Acid (DHA),1.0% min,Eicosapentaenoic Acid (EPA),0.6% min,Glucosamine,800 mg/kg min,Chondroitin Sulfate,600 mg/kg min,Up to 11 pounds ,3/4 cup per day ,1/2 cup per day ,12 - 22 pounds ,1 1/4 cups per day ,1 cup per day ,23 pounds - 44 pounds ,2 cups per day ,1 1/3 cups per day ,45 - 66 pounds ,2 3/4 cups per day ,2 cups per day ,67 - 88 pounds ,3 1/2 cups per day ,2 1/3 cups per day ,89 - 110 pounds ,4 cups per day ,2 3/4 cups per day ,111 - 132 pounds ,4 3/4 cups per day ,3 1/4 cups per day ","
        Orijen 6 Fish Grain-Free Formula Dry Dog Food","
                        $90.99",/assets/img/ratings/rating-4_7.png,707,25-lb bag
"
            By Natural Balance","Dog,Food","Crude Protein,5.5% min,Crude Fat,3.5% min,Crude Fiber,1.5% max,Moisture,78.0% max","
        Natural Balance L.I.D. Limited Ingredient Diets Chicken & Sweet Potato Formula Grain-Free Canned Dog Food","
                        $19.36",/assets/img/ratings/rating-4_6.png,234,"13-oz, case of 12"
"
            By Orijen","Dog,Food","Crude Protein,38.0% min,Crude Fat,18.0% min,Crude Fiber,4.0% max,Moisture,12.0% max,Calcium,1.9% min,Phosphorus,1.4% min,Omega 6 Fatty Acids,2.0% min,Omega 3 Fatty Acids,1.0% min,Docosahexaenoic Acid (DHA),0.4% min,Eicosapentaenoic Acid (EPA),0.2% min,Glucosamine,900 mg/kg min,Chondroitin Sulfate,400 mg/kg min,11 lbs,3/4,1/2,22 lbs,1 1/4,1,44 lbs,2,1 1/3,66 lbs,2 3/4,2,88 lbs,3 1/2,2 1/3,110 lbs,4,2 3/4,132 lbs,4 3/4,3 1/4","
        Orijen Regional Red Grain-Free Dry Dog Food","
                        $95.99",/assets/img/ratings/rating-4_7.png,704,25-lb bag
"
            By Royal Canin","Dog,Food","Crude Protein,22.0% min,Crude Fat,17.0% min,Crude Fiber,5.0% max,Moisture,10.0% max,Eicosapentaenoic Acid (EPA),0.24% min,Docosahexaenoic Acid (DHA),0.1% min,Glucosamine,750 mg/kg min,Chondroitin Sulfate,25 mg/kg min,57.3 lbs,4 1/4,5,61.7 lbs,4 1/2,5 1/4,70.5 lbs,5,5 7/8,83.8 lbs,5 3/4,6 5/8,88.2 lbs,6,6 7/8,97 lbs,6 3/8,7 3/8","
        Royal Canin German Shepherd Adult Dry Dog Food","
                        $56.09",/assets/img/ratings/rating-4_7.png,225,30-lb bag
"
            By American Journey","Dog,Food","Crude Protein,32.0% min,Crude Fat,14.0% min,Crude Fiber,5.0% max,Moisture,10.0% max,Docosahexaenoic Acid (DHA),0.1% min,Calcium,1.2% min,Phosphorus,1.0% min,Zinc,140 mg/kg min,Selenium,0.35 mg/kg min,Vitamin E,150 IU/kg min,Omega 6 Fatty Acids,2.5% min,Omega 3 Fatty Acids,0.6% min,Glucosamine,600 mg/kg min,Chondroitin Sulfate,500 mg/kg min,3 lbs,1/3,6 lbs,1/2,10 lbs,3/4,15 lbs,1,20 lbs,1 1/3,30 lbs,1 3/4,40 lbs,2 1/4,50 lbs,2 2/3,60 lbs,3,70 lbs,3 1/2,80 lbs,3 3/4,90 lbs,4,100 lbs,4 1/2","
        American Journey Beef & Sweet Potato Recipe Grain-Free Dry Dog Food","
                        $39.99",/assets/img/ratings/rating-4_5.png,199,24-lb bag
"
            By Hill's Prescription Diet","Dog,Food","Crude Protein,14.0% min,Crude Fat,10.0% min,Crude Fiber,5.0% max,Omega 3 Fatty Acids,0.3% min,Omega 6 Fatty Acids,3.0% min","
        Hill's Prescription Diet z/d Original Skin/Food Sensitivities Dry Dog Food","
                        $94.99",/assets/img/ratings/rating-4_6.png,330,25-lb bag
"
            By Purina Pro Plan","Dog,Food","Crude Protein,28.0% min,Crude Fat,13.0% min,Crude Fiber,6.0% max,Moisture,12.0% max,Linoleic Acid,1.6% min,Calcium,1.1% min,Phosphorus,0.8% min,Selenium,0.3 mg/kg min,Vitamin A,15,000 IU/kg min,Vitamin E,100 IU/kg min,Docosahexaenoic Acid (DHA),0.05% min,Glucosamine,500 ppm min","
        Purina Pro Plan Focus Puppy Large Breed Formula Dry Dog Food","
                        $41.98",/assets/img/ratings/rating-4_7.png,158,34-lb bag
"
            By Wellness","Dog,Food","Crude Protein,36.0% min,Crude Fat,18.0% min,Crude Fiber,5.0% max,Moisture,10.0% max,Calcium,1.5% max,Phosphorus,1.0% max,Vitamin E,400 IU/kg,Omega-6 Fatty Acids*,3.50% min,Omega-3 Fatty Acids*,0.6% min,Docosahexaenoic Acid (DHA)*,0.1% min,Beta-Carotene*,5 mg/kg min,Total Lactic Acid Microorganisms*,+80,000,000 CFU/lb min,2,1/2,1/2,1/3,1/3,Adult,5,1,1,3/4,2/3,Adult,10,1 3/4,1 2/3,1 1/3,1,Adult,15,2 1/2,2 1/4,1 3/4,1 1/2,Adult,20,3 1/4,2 3/4,2 1/3,2,Adult,30,4 1/3,3 2/3,3 1/3,2 3/4,Adult,40,5 1/2,4 3/4,4,3 1/3,Adult","
        Wellness CORE Grain-Free Puppy Chicken & Turkey Recipe Dry Dog Food","
                        $58.48",/assets/img/ratings/rating-4_6.png,226,26-lb bag
"
            By Nature's Recipe","Dog,Food","Crude Protein,27.0% min,Crude Fat,12.0% min,Crude Fiber,4.0% max,Moisture,10.0% max,Calcium,1.0% min,Phosphorus,0.8% min,3 - 10 lbs,1/2 - 2,1/2 - 1 1/2,1/4 - 1,10 - 20 lbs,2 - 3,1 1/2 - 2 1/4,1 - 1 1/2,20 - 50 lbs,3 - 6,2 1/4 - 4 1/2,1 1/2 - 3,50 - 100 lbs,6 - 10,4 1/2 - 7 1/2,3 - 5,> 100 lbs,—,—,Add 1/2 cup for each 10 lbs of body weight > 100 lbs","
        Nature's Recipe Grain-Free Chicken, Sweet Potato & Pumpkin Recipe Dry Dog Food","
                        $37.99",/assets/img/ratings/rating-4_8.png,114,24-lb bag
"
            By Purina ONE","Dog,Food","Crude Protein,26.0% min,Crude Fat,12.0% min,Crude Fiber,4.5% max,Moisture,12.0% max,Linoleic Acid,1.3% min,Calcium,1.0% min,Phosphorus,0.8% min,Zinc,150 ppm min,Selenium,0.35 ppm min,Vitamin A,15,000 IU/kg min,Vitamin E,460 IU/kg min,Ascorbic Acid (Vitamin C),70 mg/kg min,Glucosamine,400 ppm min,Omega 6 Fatty Acids,1.5% min","
        Purina ONE SmartBlend Large Breed Adult Formula Adult Premium Dry Dog Food","
                        $29.96",/assets/img/ratings/rating-4_8.png,67,31.1-lb bag
"
            By Nutro Ultra","Dog,Food","Crude Protein,23.0% min,Crude Fat,12.0% min,Crude Fiber,4.0% max,Moisture,10.0% max,Calcium,1.0% min,Phosphorus,0.9% min,Zinc,250 mg/kg min,Vitamin E,80 IU/kg min,Chondroitin Sulfate,200 mg/kg min,Glucosamine,80 mg/kg min,Omega-3 Fatty Acids,0.4% min,Omega-6 Fatty Acids,2.5% min,Taurine,0.05% min,50 lbs,3 - 3 1/2,65 lbs,3 3/4 - 4 1/3,75 lbs,4 1/4 - 4 3/4,85 lbs,4 2/3 - 5 1/3,95 lbs,5 - 5 3/4,130 lbs,6 1/3 - 7 1/3,170 lbs,7 3/4 - 9,200 lbs,8 3/4 - 10","
        Nutro Ultra Large Breed Adult Dry Dog Food","
                        $52.19",/assets/img/ratings/rating-4_8.png,117,30-lb bag
"
            By Taste of the Wild","Dog,Food","Crude Protein,27.0% min,Crude Fat,15.0% min,Crude Fiber,5.0% max,Moisture,10.0% max,DHA (Docosahexaenoic Acid),0.05% min,Zinc,150 mg/kg min,Selenium,0.35 mg/kg min,Vitamin E,175 IU/kg min,Omega 6 Fatty Acids,2.4% min,Omega 3 Fatty Acids,0.3% min,Total Microorganisms,1,000,000 CFU/lb min","
        Taste of the Wild Pacific Stream Puppy Formula Grain-Free Dry Dog Food","
                        $49.99",/assets/img/ratings/rating-4_7.png,334,30-lb bag
"
            By Rachael Ray Nutrish","Dog,Food","Crude Protein,26.0% min,Crude Fat,14.0% min,Crude Fiber,4.0% max,Moisture,12.0% max,Linoleic Acid (Omega 6 Fatty Acid),1.5% min,Calcium,1.1% min,Phosphorus,0.9% min,Zinc,250 mg/kg min,Vitamin E,225 IU/kg min,Ascorbic Acid (Vitamin C),55 mg/kg min,Alpha-Linolenic Acid (Omega 3 Fatty Acid),0.1% min,3 - 12 lbs,1/2 - 1 1/4 cups,12 - 25 lbs,1 1/4 - 2 cups,25 - 50 lbs,2 - 3 1/2 cups,50 - 100 lbs,3 1/2 - 5 3/4 cups,Over 100 lbs,5 3/4 cups plus 1/2 cup for every additional 12 lbs","
        Rachael Ray Nutrish Natural Beef & Brown Rice Recipe Dry Dog Food","
                        $29.52",/assets/img/ratings/rating-4_7.png,161,28-lb bag
"
            By Iams","Dog,Food","Crude Protein,26.0% min,Crude Fat,14.0% min,Crude Fiber,4.0% max,Moisture,10.0% max,Docosahexaenoic Acid,0.1% min,Calcium,0.65% min,Phosphorus,0.55% min,Vitamin E,60 IU/kg min,Selenium ,.45 mg/kg min,Omega-6 Fatty Acids,1.88% min,Omega-3 Fatty Acids,0.4% min","
        Iams ProActive Health Smart Puppy Large Breed Dry Dog Food","
                        $27.30",/assets/img/ratings/rating-4_7.png,114,30.6-lb bag
"
            By Tylee's","Dog,Food","Crude Protein,12.0% min,Crude Fat,11.0% min,Crude Fiber,1.6% max,Moisture,69.0% max,5-10 lbs,2/3 - 1 cups,10-20 lbs,1 - 1 3/4 cups,20-30 lbs,1 3/4 - 2 1/4 cups,30-40 lbs,2 1/4 - 3 cups,40-50 lbs,3 - 3 1/4 cups,50-60 lbs,3 1/4 – 3 3/4 cups,60+ lbs,Add 1/3 - 1/2 cups for additional 10 lbs,Days 1-3,75%,25%,Days 4-6,50%,50%,Days 7-9,25%,75%,Day 10,0%,100%","
        Tylee's Beef Recipe Human-Grade Dog Food","
                        $29.99",/assets/img/ratings/rating-4_5.png,196,96-oz bag
"
            By Blue Buffalo","Dog,Food","Crude Protein,36.0% min,Crude Fat,16.0% min,Crude Fiber,5.0% max,Moisture,10.0% max,Calcium,1.2% min,Phosphorus,1.0% min,Choline,2,750 mg/kg min,ARA,0.05% min,DHA,0.15% min,Omega 3 Fatty Acids,0.9% min,Omega 6 Fatty Acids,3.0% min,Up to 5 pounds,1/2 – 1 cup,1/2 – 3/4 cup,1/2 – 3/4 cup,1/4 – 1/2 cup,6 to 10 pounds,1 – 1 1/2 cups,3/4 – 1 cup,3/4 – 1 cup,1/2 – 3/4 cup,11 to 20 pounds,1 1/2 – 2 1/2 cups,1 – 1 3/4 cups,1 – 1 1/2 cups,3/4 – 1 1/2 cups,21 to 40 pounds,2 1/2 – 4 1/2 cups,1 3/4 – 3 cups,1 1/2 – 2 1/2 cups,1 1/2 – 2 1/4 cups,41 to 60 pounds,4 1/2 – 6 cups,3 – 4 cups,2 1/2 – 3 1/2 cups,2 1/4 – 3 1/4 cups","
        Blue Buffalo Wilderness Puppy Chicken Recipe Grain-Free Dry Dog Food","
                        $48.99",/assets/img/ratings/rating-4_6.png,213,24-lb bag
"
            By Earthborn Holistic","Dog,Food","Crude Protein,34.0% min,Crude Fat,18.0% min,Crude Fiber,4.0% max,Moisture,10.0% max,Calcium,1.5% min,Phosphorus,1.1% min,Vitamin E,250 IU/kg min,Ascorbic Acid (Vitamin C),100 mg/kg min,L-Carnitine,50 mg/kg min,Taurine,0.05% min,Omega 6 Fatty Acids,2.6% min,Omega 3 Fatty Acids,1.9% min,Docosahexaenoic Acid (DHA),0.2% min","
        Earthborn Holistic Great Plains Feast Grain-Free Natural Dry Dog Food","
                        $51.99",/assets/img/ratings/rating-4_7.png,272,28-lb bag
"
            By Hill's Prescription Diet","Dog,Food","Crude Protein,3.0% min,Crude Fat,2.3% min,Crude Fiber,1.5% max","
        Hill's Prescription Diet z/d Original Skin/Food Sensitivities Canned Dog Food","
                        $44.99",/assets/img/ratings/rating-4_7.png,169,"13-oz, case of 12"
"
            By Nutro","Dog,Food","Crude Protein,22.0% min,Crude Fat,14.0% min,Crude Fiber,3.5% max,Moisture,10.0% max,Linoleic Acid,3.5% min,Zinc,250 mg/kg min,Selenium,0.35 mg/kg min,Vitamin E,60 IU/kg min,Niacin,250 mg/kg min,Biotin,2.5 mg/kg min,15 lbs,1,1 1/4,1 1/2,25 lbs,1 2/3,1 3/4,2,35 lbs,2,2 1/3,2 3/4,45 lbs,2 1/2,3,3 1/3,55 lbs,3,3 1/3,3 3/4,65 lbs,3 1/3,3 3/4,4 1/3","
        Nutro Wholesome Essentials Small Bites Adult Pasture Fed Lamb & Rice Recipe Dry Dog Food","
                        $47.69",/assets/img/ratings/rating-4_8.png,207,30-lb bag
"
            By Orijen","Dog,Food","Crude Protein,38.0% min,Crude Fat,15.0% min,Crude Fiber,8.0% max,Moisture,12.0% max,Calcium,1.2% min,Phosphorus,0.9% min,Omega 6 Fatty Acids,3.0% min,Omega 3 Fatty Acids,0.8% min,Docosahexaenoic Acid (DHA),0.2% min,Eicosapentaenoic Acid (EPA),0.2% min,Glucosamine,700 mg/kg min,Chondroitin Sulfate,600 mg/kg min,11 lbs,3/4,1/2,22 lbs,1 1/3,1,44 lbs,2 1/4,1 1/2,66 lbs,3,2,88 lbs,3 2/3,2 1/2,110 lbs,4 1/3,3,132 lbs,5,3 1/3","
        Orijen Senior Grain-Free Dry Dog Food","
                        $80.99",/assets/img/ratings/rating-4_7.png,478,25-lb bag
